CARBOU_7_PL2X3,CARBOU_7_PL2X3,GEN,CARIBOU PH 1 UNIT 2 & 3 AGGREGATE,49,HYDRO,WATER,NP15,CISO,PGAE
CARBOU_7_PL4X5,CARBOU_7_PL4X5,GEN,CARIBOU PH 2 UNIT 4 & 5 AGGREGATE,120,HYDRO,WATER,NP15,CISO,PGAE
,CARBOU_7_UNIT 1,GEN,CARIBOU PH 1 UNIT 1,24,HYDRO,WATER,NP15,CISO,PGAE
CARBOU_7_PL2X3,CARBOU_7_UNIT 2,GEN,CARIBOU PH 1 UNIT 2,25,HYDRO,WATER,NP15,CISO,
CARBOU_7_PL2X3,CARBOU_7_UNIT 3,GEN,CARIBOU PH 1 UNIT 3,25,HYDRO,WATER,NP15,CISO,
CARBOU_7_PL4X5,CARBOU_7_UNIT 4,GEN,Caribou PH 2 Unit 4,60,HYDRO,WATER,NP15,CISO,
CARBOU_7_PL4X5,CARBOU_7_UNIT 5,GEN,Caribou PH 2 Unit 5,60,HYDRO,WATER,NP15,CISO,
,CASTVL_2_FCELL,GEN,PGE CSUEB Hayward Fuel Cell,1.4,OTHER,NATURAL GAS,NP15,CISO,PGAE
,CATLNA_2_SOLAR,GEN,Catalina Solar - Phases 1 and 2,110,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CATLNA_2_SOLAR2,GEN,Catalina Solar 2,18,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CAVLSR_2_BSOLAR,GEN,California Valley Solar Ranch-Phase B,40,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,CAVLSR_2_RSOLAR,GEN,California Valley Solar Ranch-Phase A,210,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,CAYTNO_2_VASCO,GEN,Vasco Road,4.3,RECIPROCATING ENGINE,BIOGAS,NP15,CISO,PGAE
,CCRITA_7_RPPCHF,GEN,Rancho Penasquitos Hydro Facility,5.25,HYDRO,WATER,SP15,CISO,SDGE
CDWR07_2_GEN,CDWR07_2_GEN,GEN,CDWR07_2_GEN,456,PUMP,NONE,NP15,CISO,CWRP
,CEDRCK_6_UNIT,GEN,Water Wheel Ranch,0.98,HYDRO,WATER,NP15,CISO,PGAE
,CEDUCR_2_SOLAR1,GEN,Ducor Solar 1,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CEDUCR_2_SOLAR2,GEN,Ducor Solar 2,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CEDUCR_2_SOLAR3,GEN,Ducor Solar 3,15,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CEDUCR_2_SOLAR4,GEN,Ducor Solar 4,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CENTER_2_QF,GEN,CENTER QFS,29,,OTHER,SP15,CISO,SCE
,CENTER_2_RHONDO,GEN,MWD Rio Hondo Hydroelectric Recovery Pla,1.91,HYDRO,WATER,SP15,CISO,SCE
,CENTER_2_SOLAR1,GEN,Pico Rivera,0.9,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,CENTER_6_PEAKER,GEN,Center Peaker,47.11,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,SCE
CENTRY_6_PL1X4,CENTRY_6_GEN 1,GEN,CENTURY GEN 1,10.8,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
CENTRY_6_PL1X4,CENTRY_6_GEN 2,GEN,CENTURY GEN 2,10.8,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
CENTRY_6_PL1X4,CENTRY_6_GEN 3,GEN,CENTURY GEN 3,10.8,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
CENTRY_6_PL1X4,CENTRY_6_GEN 4,GEN,CENTURY GEN 4,10.8,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,
CENTRY_6_PL1X4,CENTRY_6_PL1X4,GEN,CENTURY GENERATING PLANT (AGGREGATE),41.4,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,SCE
,CHALK_1_UNIT,GEN,CHALK CLIFF LIMITED,48.67,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,CHEVCD_6_UNIT,GEN,CHEVRON USA (TAFT/CADET),11.5,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,CHEVCO_6_UNIT 1,GEN,CHEVRON USA (COALINGA),19,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,CHEVCO_6_UNIT 2,GEN,AERA ENERGY LLC. (COALINGA),12.5,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,CHEVCY_1_UNIT,GEN,CHEVRON USA (CYMRIC),24.3,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,CHEVMN_2_UNITS,GEN,CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE,124.87,,OTHER,SP15,CISO,SCE
